Level,Name,Code,Parent
Province,AGUSAN DEL NORTE,ADU,Region XIII
Municipality,BUENAVISTA,BUE,AGUSAN DEL NORTE
Barangay,ABILAN,ABI,BUENAVISTA
Barangay,AGONG-ONG,AGO,BUENAVISTA
Barangay,ALUBIJID,ALU,BUENAVISTA
Barangay,GUINABSAN,GUI,BUENAVISTA
Barangay,LOWER OLAVE,LOW,BUENAVISTA
Barangay,MACALANG,MAC,BUENAVISTA
Barangay,MALAPONG,MAL,BUENAVISTA
Barangay,MALPOC,MA1,BUENAVISTA
Barangay,MANAPA,MAN,BUENAVISTA
Barangay,MATABAO,MAT,BUENAVISTA
Barangay,POBLACION 1,PO1,BUENAVISTA
Barangay,POBLACION 2,PO2,BUENAVISTA
Barangay,POBLACION 3,PO3,BUENAVISTA
Barangay,POBLACION 4,PO4,BUENAVISTA
Barangay,POBLACION 5,PO5,BUENAVISTA
Barangay,POBLACION 6,PO6,BUENAVISTA
Barangay,POBLACION 7,PO7,BUENAVISTA
Barangay,POBLACION 8,PO8,BUENAVISTA
Barangay,POBLACION 9,PO9,BUENAVISTA
Barangay,POBLACION 10,PO10,BUENAVISTA
Barangay,RIZAL,RIZ,BUENAVISTA
Barangay,SACOL,SAC,BUENAVISTA
Barangay,SANGAY,SAN,BUENAVISTA
Barangay,SIMBALAN,SIM,BUENAVISTA
Barangay,TALO-AO,TAL,BUENAVISTA
Municipality,BUTUAN CITY,BTU,AGUSAN DEL NORTE
Barangay,AGAO POB. (BGY. 3),APA,BUTUAN CITY
Barangay,AGUSAN PEQUEÃ‘O,APU,BUTUAN CITY
Barangay,AMBAGO,AMB,BUTUAN CITY
Barangay,AMPARO,AMP,BUTUAN CITY
Barangay,AMPAYON,AM1,BUTUAN CITY
Barangay,ANTICALA,ANT,BUTUAN CITY
Barangay,ANTONGALON,AN1,BUTUAN CITY
Barangay,AUPAGAN,AUP,BUTUAN CITY
Barangay,BAAN KM 3,BK3,BUTUAN CITY
Barangay,BAAN RIVERSIDE POB. (BGY. 20),BRA,BUTUAN CITY
Barangay,BABAG,BAB,BUTUAN CITY
Barangay,BADING POB. (BGY. 22),BPD,BUTUAN CITY
Barangay,BANCASI,BAN,BUTUAN CITY
Barangay,BANZA,BA1,BUTUAN CITY
Barangay,BAOBAOAN,BAO,BUTUAN CITY
Barangay,BASAG,BAS,BUTUAN CITY
Barangay,BAYANIHAN POB. (BGY. 27),BPY,BUTUAN CITY
Barangay,BILAY,BIL,BUTUAN CITY
Barangay,BIT-OS,BIT,BUTUAN CITY
Barangay,BITAN-AGAN,BI1,BUTUAN CITY
Barangay,BOBON,BOB,BUTUAN CITY
Barangay,BONBON,BON,BUTUAN CITY
Barangay,BUGABUS,BUG,BUTUAN CITY
Barangay,BUGSUKAN,BU1,BUTUAN CITY
Barangay,BUHANGIN POB. (BGY. 19),BPH,BUTUAN CITY
Barangay,CABCABON,CAB,BUTUAN CITY
Barangay,CAMAYAHAN,CAM,BUTUAN CITY
Barangay,DAGOHOY POB. (BGY. 7),DPG,BUTUAN CITY
Barangay,DANKIAS,DAN,BUTUAN CITY
Barangay,DE ORO,DOX,BUTUAN CITY
Barangay,DIEGO SILANG POB. (BGY. 6),DSE,BUTUAN CITY
Barangay,DON FRANCISCO,DFN,BUTUAN CITY
Barangay,DOONGAN,DOO,BUTUAN CITY
Barangay,DULAG,DUL,BUTUAN CITY
Barangay,DUMALAGAN,DUM,BUTUAN CITY
Barangay,FLORIDA,FLO,BUTUAN CITY
Barangay,GOLDEN RIBBON POB. (BGY. 2),GRL,BUTUAN CITY
Barangay,HOLY REDEEMER POB. (BGY. 23),HRL,BUTUAN CITY
Barangay,HUMABON POB. (BGY. 11),HPM,BUTUAN CITY
Barangay,IMADEJAS POB. (BGY. 24),IPA,BUTUAN CITY
Barangay,JOSE RIZAL POB. (BGY. 25),JRS,BUTUAN CITY
Barangay,KINAMLUTAN,KIN,BUTUAN CITY
Barangay,LAPU-LAPU POB. (BGY. 8),LPP,BUTUAN CITY
Barangay,LEMON,LEM,BUTUAN CITY
Barangay,LEON KILAT POB. (BGY. 13),LKO,BUTUAN CITY
Barangay,LIBERTAD,LIB,BUTUAN CITY
Barangay,LIMAHA POB. (BGY. 14),LPM,BUTUAN CITY
Barangay,LOS ANGELES,LAS,BUTUAN CITY
Barangay,LUMBOCAN,LUM,BUTUAN CITY
Barangay,MAGUINDA,MAG,BUTUAN CITY
Barangay,MAHAY,MAH,BUTUAN CITY
Barangay,MAHOGANY POB. (BGY. 21),MPH,BUTUAN CITY
Barangay,MAIBU,MAI,BUTUAN CITY
Barangay,MANDAMO,MAN,BUTUAN CITY
Barangay,MANILA DE BUGABUS,MDN,BUTUAN CITY
Barangay,MAON POB. (BGY. 1),MPO,BUTUAN CITY
Barangay,MASAO,MAS,BUTUAN CITY
Barangay,MAUG,MAU,BUTUAN CITY
Barangay,NEW SOCIETY VILLAGE POB. (BGY. 26),NSW,BUTUAN CITY
Barangay,NONG-NONG,NON,BUTUAN CITY
Barangay,OBRERO POB. (BGY. 18),OPR,BUTUAN CITY
Barangay,ONG YIU POB. (BGY. 16),OYG,BUTUAN CITY
Barangay,PAGATPATAN,PAG,BUTUAN CITY
Barangay,PANGABUGAN,PAN,BUTUAN CITY
Barangay,PIANING,PIA,BUTUAN CITY
Barangay,PIGDAULAN,PIG,BUTUAN CITY
Barangay,PINAMANCULAN,PIN,BUTUAN CITY
Barangay,PORT POYOHON POB. (BGY. 17 - NEW ASIA),PPR,BUTUAN CITY
Barangay,RAJAH SOLIMAN POB. (BGY. 4),RSJ,BUTUAN CITY
Barangay,SALVACION,SAL,BUTUAN CITY
Barangay,SAN IGNACIO POB. (BGY. 15),SIN,BUTUAN CITY
Barangay,SAN MATEO,SMN,BUTUAN CITY
Barangay,SAN VICENTE,SVN,BUTUAN CITY
Barangay,SANTO NIÃ‘O,SNN,BUTUAN CITY
Barangay,SIKATUNA POB. (BGY. 10),SPK,BUTUAN CITY
Barangay,SILONGAN POB. (BGY. 5),SPL,BUTUAN CITY
Barangay,SUMILE,SUM,BUTUAN CITY
Barangay,SUMILIHON,SU1,BUTUAN CITY
Barangay,TAGABACA,TAG,BUTUAN CITY
Barangay,TAGUIBO,TA1,BUTUAN CITY
Barangay,TALIGAMAN,TAL,BUTUAN CITY
Barangay,TANDANG SORA POB. (BGY. 12),TSN,BUTUAN CITY
Barangay,TINIWISAN,TIN,BUTUAN CITY
Barangay,TUNGAO,TUN,BUTUAN CITY
Barangay,URDUJA POB. (BGY. 9),UPD,BUTUAN CITY
Barangay,VILLA KANANGA,VKL,BUTUAN CITY
Municipality,CABADBARAN CITY,CCB,AGUSAN DEL NORTE
Barangay,ANTONIO LUNA,ALT,CABADBARAN CITY
Barangay,BAY-ANG,BAY,CABADBARAN CITY
Barangay,BAYABAS,BA1,CABADBARAN CITY
Barangay,CAASINAN,CAA,CABADBARAN CITY
Barangay,CABINET,CAB,CABADBARAN CITY
Barangay,CALAMBA,CAL,CABADBARAN CITY
Barangay,CALIBUNAN,CA1,CABADBARAN CITY
Barangay,COMAGASCAS,COM,CABADBARAN CITY
Barangay,CONCEPCION,CON,CABADBARAN CITY
Barangay,DEL PILAR,DPL,CABADBARAN CITY
Barangay,KATUGASAN,KAT,CABADBARAN CITY
Barangay,KAUSWAGAN,KAU,CABADBARAN CITY
Barangay,LA UNION,LUX,CABADBARAN CITY
Barangay,MABINI,MAB,CABADBARAN CITY
Barangay,MAHABA,MAH,CABADBARAN CITY
Barangay,POBLACION 1,PO1,CABADBARAN CITY
Barangay,POBLACION 2,PO2,CABADBARAN CITY
Barangay,POBLACION 3,PO3,CABADBARAN CITY
Barangay,POBLACION 4,PO4,CABADBARAN CITY
Barangay,POBLACION 5,PO5,CABADBARAN CITY
Barangay,POBLACION 6,PO6,CABADBARAN CITY
Barangay,POBLACION 7,PO7,CABADBARAN CITY
Barangay,POBLACION 8,PO8,CABADBARAN CITY
Barangay,POBLACION 9,PO9,CABADBARAN CITY
Barangay,POBLACION 10,PO10,CABADBARAN CITY
Barangay,POBLACION 11,PO11,CABADBARAN CITY
Barangay,POBLACION 12,PO12,CABADBARAN CITY
Barangay,PUTING BATO,PBT,CABADBARAN CITY
Barangay,SANGHAN,SAN,CABADBARAN CITY
Barangay,SORIANO,SOR,CABADBARAN CITY
Barangay,TOLOSA,TOL,CABADBARAN CITY
Municipality,CARMEN,CAR,AGUSAN DEL NORTE
Barangay,CAHAYAGAN,CAH,CARMEN
Barangay,GOSOON,GOS,CARMEN
Barangay,MANOLIGAO,MAN,CARMEN
Barangay,POBLACION (CARMEN),POB,CARMEN
Barangay,ROJALES,ROJ,CARMEN
Barangay,SAN AGUSTIN,SAN,CARMEN
Barangay,TAGCATONG,TAG,CARMEN
Barangay,VINAPOR,VIN,CARMEN
Municipality,JABONGA,JAB,AGUSAN DEL NORTE
Barangay,A. BELTRAN (CAMALIG),ABX,JABONGA
Barangay,BALEGUIAN,BAL,JABONGA
Barangay,BANGONAY,BAN,JABONGA
Barangay,BUNGA,BUN,JABONGA
Barangay,COLORADO,COL,JABONGA
Barangay,CUYAGO,CUY,JABONGA
Barangay,LIBAS,LIB,JABONGA
Barangay,MAGDAGOOC,MAG,JABONGA
Barangay,MAGSAYSAY,MA1,JABONGA
Barangay,MARAIGING,MAR,JABONGA
Barangay,POBLACION (JABONGA),POB,JABONGA
Barangay,SAN JOSE,SJN,JABONGA
Barangay,SAN PABLO,SPN,JABONGA
Barangay,SAN VICENTE,SVN,JABONGA
Barangay,SANTO NIÃ‘O,SNN,JABONGA
Municipality,KITCHARAO,KIT,AGUSAN DEL NORTE
Barangay,BANGAYAN,BAN,KITCHARAO
Barangay,CANAWAY,CAN,KITCHARAO
Barangay,CROSSING,CRO,KITCHARAO
Barangay,HINIMBANGAN,HIN,KITCHARAO
Barangay,JALIOBONG,JAL,KITCHARAO
Barangay,MAHAYAHAY,MAH,KITCHARAO
Barangay,POBLACION,POB,KITCHARAO
Barangay,SAN ISIDRO,SIN,KITCHARAO
Barangay,SAN ROQUE,SRN,KITCHARAO
