Level,Name,Code,Parent
Province,AGUSAN DEL NORTE,ASA,Region XIII
Municipality,BUENAVISTA,BNN,AGUSAN DEL NORTE
Barangay,ABILAN,ANL,BUENAVISTA
Barangay,AGONG-ONG,AGG,BUENAVISTA
Barangay,ALUBIJID,ADI,BUENAVISTA
Barangay,GUINABSAN,GNA,BUENAVISTA
Barangay,LOWER OLAVE,LEO,BUENAVISTA
Barangay,MACALANG,MGL,BUENAVISTA
Barangay,MALAPONG,MGP,BUENAVISTA
Barangay,MALPOC,MCP,BUENAVISTA
Barangay,MANAPA,MAA,BUENAVISTA
Barangay,MATABAO,MOA,BUENAVISTA
Barangay,POBLACION 1,P1X,BUENAVISTA
Barangay,POBLACION 2,P2X,BUENAVISTA
Barangay,POBLACION 3,P3X,BUENAVISTA
Barangay,POBLACION 4,P4X,BUENAVISTA
Barangay,POBLACION 5,P5X,BUENAVISTA
Barangay,POBLACION 6,P6X,BUENAVISTA
Barangay,POBLACION 7,P7X,BUENAVISTA
Barangay,POBLACION 8,P8X,BUENAVISTA
Barangay,POBLACION 9,P9X,BUENAVISTA
Barangay,POBLACION 10,P0X,BUENAVISTA
Barangay,RIZAL,RLZ,BUENAVISTA
Barangay,SACOL,SLC,BUENAVISTA
Barangay,SANGAY,SYG,BUENAVISTA
Barangay,SIMBALAN,SNA,BUENAVISTA
Barangay,TALO-AO,TOO,BUENAVISTA
Municipality,BUTUAN CITY,BTU,AGUSAN DEL NORTE
Barangay,AGAO POB. (BGY. 3),ABO,BUTUAN CITY
Barangay,AGUSAN PEQUEÃ‘O,AOP,BUTUAN CITY
Barangay,AMBAGO,AOA,BUTUAN CITY
Barangay,AMPARO,AO1,BUTUAN CITY
Barangay,AMPAYON,ANA,BUTUAN CITY
Barangay,ANTICALA,AAC,BUTUAN CITY
Barangay,ANTONGALON,ANG,BUTUAN CITY
Barangay,AUPAGAN,AN1,BUTUAN CITY
Barangay,BAAN KM 3,BK3,BUTUAN CITY
Barangay,BAAN RIVERSIDE POB. (BGY. 20),BBR,BUTUAN CITY
Barangay,BABAG,BGB,BUTUAN CITY
Barangay,BADING POB. (BGY. 22),BBN,BUTUAN CITY
Barangay,BANCASI,BIC,BUTUAN CITY
Barangay,BANZA,BAN,BUTUAN CITY
Barangay,BAOBAOAN,BNA,BUTUAN CITY
Barangay,BASAG,BGS,BUTUAN CITY
Barangay,BAYANIHAN POB. (BGY. 27),BBH,BUTUAN CITY
Barangay,BILAY,BYL,BUTUAN CITY
Barangay,BIT-OS,BST,BUTUAN CITY
Barangay,BITAN-AGAN,BNN,BUTUAN CITY
Barangay,BOBON,BNB,BUTUAN CITY
Barangay,BONBON,BN1,BUTUAN CITY
Barangay,BUGABUS,BSA,BUTUAN CITY
Barangay,BUGSUKAN,BNU,BUTUAN CITY
Barangay,BUHANGIN POB. (BGY. 19),BBG,BUTUAN CITY
Barangay,CABCABON,CNA,BUTUAN CITY
Barangay,CAMAYAHAN,CNY,BUTUAN CITY
Barangay,DAGOHOY POB. (BGY. 7),DBO,BUTUAN CITY
Barangay,DANKIAS,DSK,BUTUAN CITY
Barangay,DE ORO,DOO,BUTUAN CITY
Barangay,DIEGO SILANG POB. (BGY. 6),DBL,BUTUAN CITY
Barangay,DON FRANCISCO,DON,BUTUAN CITY
Barangay,DOONGAN,DNN,BUTUAN CITY
Barangay,DULAG,DGL,BUTUAN CITY
Barangay,DUMALAGAN,DNL,BUTUAN CITY
Barangay,FLORIDA,FAR,BUTUAN CITY
Barangay,GOLDEN RIBBON POB. (BGY. 2),GBI,BUTUAN CITY
Barangay,HOLY REDEEMER POB. (BGY. 23),HBE,BUTUAN CITY
Barangay,HUMABON POB. (BGY. 11),HBO,BUTUAN CITY
Barangay,IMADEJAS POB. (BGY. 24),IBJ,BUTUAN CITY
Barangay,JOSE RIZAL POB. (BGY. 25),JBZ,BUTUAN CITY
Barangay,KINAMLUTAN,KNL,BUTUAN CITY
Barangay,LAPU-LAPU POB. (BGY. 8),LBA,BUTUAN CITY
Barangay,LEMON,LNM,BUTUAN CITY
Barangay,LEON KILAT POB. (BGY. 13),LBL,BUTUAN CITY
Barangay,LIBERTAD,LDR,BUTUAN CITY
Barangay,LIMAHA POB. (BGY. 14),LBH,BUTUAN CITY
Barangay,LOS ANGELES,LSG,BUTUAN CITY
Barangay,LUMBOCAN,LNO,BUTUAN CITY
Barangay,MAGUINDA,MAI,BUTUAN CITY
Barangay,MAHAY,MYH,BUTUAN CITY
